MobilePhoneList [2009-12-01 00:00:03] By http://ke-tai.org/
"連番","メーカ名","機種名","機種略名","ユーザエージェント","タイプ１","タイプ２","ブラウザ幅(x)","ブラウザ高さ(y)","表示カラー数","ブラウザキャッシュ","GIF","JPG","PNG","Flash","Flashバージョン","Flashワークメモリ","Javaアプリ","BREW","HTML","SSL","ログイン","クッキー","CSS","GPS","発売日","備考","更新状況メモ","更新日"
"44","DoCoMo","F211i","F211i","DoCoMo/1.0/F211i","mova","3.0","96","113","4096","10","1","0","0","0","","","0","0","1","1","1","0","0","0","2001-11","","","2008-01-08 21:21:40"
"45","DoCoMo","D211i","D211i","DoCoMo/1.0/D211i","mova","3.0","100","91","4096","10","1","0","0","0","","","0","0","1","1","1","0","0","0","2001-11","","","2008-01-08 21:23:30"
"46","DoCoMo","N211i","N211i","DoCoMo/1.0/N211i","mova","3.0","118","128","4096","10","1","1","0","0","","","0","0","1","1","1","0","0","0","2001-12","","","2008-01-10 19:39:41"
"47","DoCoMo","N211iS","N211iS","DoCoMo/1.0/N211iS","mova","3.0","118","128","4096","10","1","1","0","0","","","0","0","1","1","1","0","0","0","2003-04","","","2008-01-10 19:41:51"
"48","DoCoMo","P211i","P211i","DoCoMo/1.0/P211i","mova","3.0","120","130","65536","10","1","1","0","0","","","0","0","1","1","1","0","0","0","2002-01","","","2008-01-10 19:44:48"
"49","DoCoMo","P211iS","P211iS","DoCoMo/1.0/P211iS","mova","3.0","120","130","65536","10","1","1","0","0","","","0","0","1","1","1","0","0","0","2003-04","","","2008-01-10 19:46:14"
"50","DoCoMo","SO211i","SO211i","DoCoMo/1.0/SO211i","mova","3.0","120","112","4096","10","1","1","0","0","","","0","0","1","1","1","0","0","0","2002-02","","","2009-06-01 11:36:55"
"51","DoCoMo","R211i","R211i","DoCoMo/1.0/R211i","mova","3.0","96","98","4096","10","1","1","0","0","","","0","0","1","1","1","0","0","0","2002-03","","","2008-01-10 19:51:37"
"52","DoCoMo","SH251i","SH251i","DoCoMo/1.0/SH251i","mova","3.0","120","130","65536","10","1","1","0","0","","","0","0","1","1","1","0","0","0","2002-06","","","2008-01-10 19:53:48"
"53","DoCoMo","SH251iS","SH251iS","DoCoMo/1.0/SH251iS","mova","3.0","176","187","65536","10","1","1","0","0","","","0","0","1","1","1","0","0","0","2002-11","","","2008-01-10 19:56:38"
"54","DoCoMo","R692i","R692i","DoCoMo/1.0/R692i","mova","3.0","96","98","4096","10","1","1","0","0","","","0","0","1","1","1","0","0","0","2002-08","","","2009-08-27 11:10:33"
"55","DoCoMo","N2001","N2001","DoCoMo/2.0 N2001","FOMA","3.0","118","128","4096","10","1","1","0","0","","","1","0","1","1","1","0","0","0","2001-10","","","2008-01-10 20:03:26"
"56","DoCoMo","N2002","N2002","DoCoMo/2.0 N2002","FOMA","3.0","118","128","65536","100","1","1","0","0","","","1","0","1","1","1","0","0","0","2001-11","","","2008-01-15 15:37:38"
"57","DoCoMo","P2002","P2002","DoCoMo/2.0 P2002","FOMA","3.0","118","128","65536","100","1","1","0","0","","","1","0","1","1","1","0","0","0","2002-06","","","2008-01-15 15:39:56"
"58","DoCoMo","D2101V","D2101V","DoCoMo/2.0 D2101V","FOMA","3.0","120","130","262144","100","1","1","0","0","","","1","0","1","1","1","0","0","0","2002-03","","","2008-01-17 18:54:38"
"59","DoCoMo","P2101V","P2101V","DoCoMo/2.0 P2101V","FOMA","3.0","163","182","262144","100","1","1","0","0","","","1","0","1","1","1","0","0","0","2001-10","","","2008-01-17 18:54:38"
"60","DoCoMo","SH2101V","SH2101V","DoCoMo/2.0 MST_v_SH2101V","FOMA","3.0","800","600","65536","100","1","1","0","0","","","1","0","1","1","1","0","0","0","2002-07","","","2008-01-15 16:03:05"
"61","DoCoMo","T2101V","T2101V","DoCoMo/2.0 T2101V","FOMA","3.0","176","144","262144","100","1","1","0","0","","","1","0","1","1","1","0","0","0","2002-09","","","2008-01-17 18:54:38"
"62","DoCoMo","D504i","D504i","DoCoMo/1.0/D504i","mova","4.0","132","144","262144","10","1","1","0","0","","","1","0","1","1","1","0","0","0","2002-05","","","2008-01-17 18:54:38"
"63","DoCoMo","F504i","F504i","DoCoMo/1.0/F504i","mova","4.0","132","136","65536","10","1","1","0","0","","","1","0","1","1","1","0","0","0","2002-05","a","","2009-08-01 23:40:20"
"64","DoCoMo","F504iS","F504iS","DoCoMo/1.0/F504iS","mova","4.0","132","136","65536","10","1","1","0","0","","","1","0","1","1","1","0","0","0","2002-12","","","2008-01-15 15:57:19"
"65","DoCoMo","N504i","N504i","DoCoMo/1.0/N504i","mova","4.0","160","180","65536","10","1","1","0","0","","","1","0","1","1","1","0","0","0","2002-05","","","2008-01-15 15:58:50"
